REFERENCE COEFFICIENTS GREATER THAN 0.0000000
 2222222000           0.9530972
 2222220020          -0.1004236
 2222202200          -0.1004233
 22222/\/\0          -0.0920260
 22222//\\0          -0.0837955
 2220222200          -0.0627679
 2220222020          -0.0627675
 2222/2/0\\           0.0542919
 2222//2\0\          -0.0542918
 2222/2\0/\          -0.0478143
 2222/\2/0\           0.0478143
 2222022002          -0.0446855
 222/\22200          -0.0323522
 222/\22020          -0.0323517
 222/22\0/\          -0.0206880
 222/2\2/0\           0.0206880
 22222/0\20          -0.0179425
 222220/2\0           0.0179425
 2222022200          -0.0177830
 2222022020          -0.0177827
 2202222200          -0.0166863
 2202222020          -0.0166863
 2222200220           0.0154619
 2220222002          -0.0148683
 2222//0\2\           0.0131728
 2222/0/2\\          -0.0131727
 22/222\0/\           0.0113875
 22/22\2/0\          -0.0113875
 22/222/0\\           0.0104285
 22/22/2\0\          -0.0104284
 222/\22002           0.0101157
 2222202002          -0.0097867
 2222220002          -0.0097867
 2222/\0/2\          -0.0093925
 2222/0\2/\           0.0093925
 22220//\\2           0.0090487
 2222202020          -0.0083979
 2222220200          -0.0083978
 222022/2\0          -0.0082892
 22202/2\20           0.0082891
 2220220220           0.0080321
 2220202220           0.0080321
 2222020022           0.0079144
 2222002202           0.0079144
 222/\2/2\0          -0.0077655
 222/\/2\20           0.0077653
 2202222002          -0.0073818
 22220/\/\2           0.0073277
 2222/0220\          -0.0070624
 2222/2002\          -0.0070624
 22/\22/2\0          -0.0061518
 22/\2/2\20           0.0061517
 2222/0022\           0.0059055
 2222//\\/\           0.0047991
 2222/\//\\           0.0047990
 222/\20220           0.0047484
 222/\02220           0.0047483
 22/2\22002          -0.0045506
 2220/2220\           0.0042333
 2220/2202\           0.0042333
 22/2\22200           0.0039408
 22/2\22020           0.0039406
 2222//\/\\          -0.0038391
 2220/2\2/\           0.0037353
 2220/\2/2\          -0.0037353
 2220022202           0.0036607
 2220022022           0.0036607
 2220//2\2\           0.0033928
 2220/2/2\\          -0.0033928
 22022/2\20          -0.0033035
 220222/2\0           0.0033035
 2200222220           0.0031865
 22/\/2202\           0.0030653
 22/\/2220\           0.0030653
 222/20\2/\           0.0029187
 222/2\0/2\          -0.0029187
 222/02220\           0.0028283
 222/02202\           0.0028283
 2222///\\\          -0.0027974
 22220/0\22           0.0026939
 222200/2\2          -0.0026939
 2220202202           0.0024852
 2220220022           0.0024852
 2222020220           0.0023287
 2222002220           0.0023286
 222/\/2\02           0.0022564
 222/\2/0\2          -0.0022563
 222202/2\0          -0.0021525
 22220/2\20           0.0021524
 222222/0\0           0.0020844
 22222/2\00          -0.0020838
 2202/2202\          -0.0019889
 2202/2220\          -0.0019889
 222/\//\\2          -0.0018927
 220/\22220           0.0018110
 22/\222002          -0.0017478
 2222000222          -0.0017303
 222/02\2/\           0.0017192
 222/0\2/2\          -0.0017191
 2222/\/\/\           0.0017024
 222/20220\          -0.0016863
 222/22002\          -0.0016863
 22202/\/\2           0.0016626
 2220022220           0.0015828
 222/\/\/\2          -0.0015523
 2022222002          -0.0014417
 22/22/0\2\           0.0014235
 22/220/2\\          -0.0014235
 222/02/2\\          -0.0013968
 222/0/2\2\           0.0013968
 222/2/\\/\           0.0013762
 222/2\//\\           0.0013761
 2222/2200\          -0.0013249
 22220/2\02          -0.0013193
 222202/0\2           0.0013193
 22/22//\\\          -0.0013089
 22/2\2/2\0           0.0012429
 22/2\/2\20          -0.0012427
 222/\20022          -0.0012411
 222/\02202          -0.0012410
 222/\0/2\2           0.0012204
 222/\/0\22          -0.0012204
 22/220\2/\          -0.0012033
 22/22\0/2\           0.0012032
 22202//\\2           0.0012020
 22/222200\           0.0010855
 2/22\22200          -0.0010666
 2/22\22020          -0.0010665
 2222200022           0.0010653
 2222200202           0.0010653
 222/2\/\/\           0.0010642
 22/222002\          -0.0010487
 22/220220\          -0.0010487
 0222222002          -0.0010482
 222022/0\2          -0.0010482
 22202/2\02           0.0010481
 222//\/\\2          -0.0010265
 22/0\22220          -0.0010243
 22/22\/\/\          -0.0010204
 222/20022\           0.0010069
 22/22/\/\\          -0.0009865
 22/2/\/\\2           0.0009750
 222/2/0\2\           0.0009198
 222/20/2\\          -0.0009197
 22/\220220           0.0009178
 22/\202220           0.0009177
 2202220022           0.0009030
 2202202202           0.0009029
 22//\2220\           0.0008982
 22//\2202\           0.0008982
 2/2\222002          -0.0008783
 2202220220           0.0008781
 2202202220           0.0008781
 2200222202           0.0008780
 2200222022           0.0008780
 222/22200\          -0.0008488
 2220220202           0.0008225
 2220202022           0.0008225
 2220020222          -0.0008191
 2220002222          -0.0008190
 22/\/2022\          -0.0008157
 22/\/0222\          -0.0008157
 22/\2/2\02           0.0008047
 22/\22/0\2          -0.0008047
 2202022220           0.0008040
 2202022202           0.0007939
 2202022022           0.0007938
 222/2/2\0\          -0.0007908
 222/22/0\\           0.0007908
 222002/2\2           0.0007815
 22200/2\22          -0.0007815
 2220/2022\          -0.0007661
 2220/0222\          -0.0007660
 22/022\2/\          -0.0007560
 22/02\2/2\           0.0007560
 222///\\\2          -0.0007259
 22/2/2\0\2           0.0007145
 22/2/\2\02          -0.0007145
 22/022/2\\          -0.0007023
 22/02/2\2\           0.0007023
 22022/\/\2           0.0006944
 22/2//\\\2           0.0006894
 22022/2\02          -0.0006600
 220222/0\2           0.0006600
 22//2\2\20           0.0006537
 22//22\2\0          -0.0006536
 2022222200          -0.0006241
 2022222020          -0.0006241
 22/\02/2\2           0.0005967
 22/\0/2\22          -0.0005967
 222/02022\          -0.0005921
 222/00222\          -0.0005921
 222//2\2\0          -0.0005875
 222//\2\20           0.0005874
 2222020202           0.0005865
 2222002022           0.0005865
 22/\222020           0.0005608
 22/\222200           0.0005606
 22222/0\02          -0.0005361
 222220/0\2           0.0005361
 2220200222          -0.0005283
 222/2/\/\\          -0.0005244
 2/2\222200           0.0005236
 2/2\222020           0.0005236
 0222222020          -0.0005051
 0222222200          -0.0005051
 22/022220\           0.0004994
 22/022202\           0.0004994
 22/220022\           0.0004929
 22/2\02202           0.0004784
 22/2\20022           0.0004784
 /2\2222002           0.0004709
 22/2\/\/\2           0.0004692
 22022//\\2           0.0004597
 2202/2\2/\           0.0004595
 2202/\2/2\          -0.0004595
 2222/0202\          -0.0004525
 2222/2020\          -0.0004525
 22/\/2\2/\           0.0004428
 22/\/\2/2\          -0.0004428
 22/\202202           0.0004273
 22/\220022           0.0004273
 /222\22002          -0.0004034
 2202/0222\           0.0004005
 2202/2022\           0.0004005
 2/2\22/2\0           0.0004004
 2/2\2/2\20          -0.0004004
 22/2/\2\20          -0.0003977
 22/2/2\2\0           0.0003977
 2/222/2\0\          -0.0003909
 2/2222/0\\           0.0003909
 22//\/2\2\           0.0003874
 22//\2/2\\          -0.0003874
 22/\2/\/\2           0.0003750
 22/2\20220          -0.0003700
 22/2\02220          -0.0003699
 222/22020\          -0.0003672
 222/20202\          -0.0003672
 22/\022220          -0.0003584
 2202//2\2\           0.0003272
 2202/2/2\\          -0.0003272
 22022/0\22           0.0003189
 220220/2\2          -0.0003189
 222/\20202           0.0003113
 222/\02022           0.0003113
 222//2\0\2          -0.0003084
 222//\2\02           0.0003083
 22//\\2/2\           0.0003070
 22//\2\2/\          -0.0003070
 22/2/0\2\2          -0.0003010
